"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene","comparison"
7523483.88425653,4.42282454641165,0.835460510842372,5.29387623833021,1.19750492096312e-07,1.42356697217499e-06,"ERCC-00002","hypoglycemic_vs_control"
4718.27771336509,5.67218528722454,0.794343082618794,7.14072472126836,9.28401148045775e-13,2.28674019873183e-11,"ERCC-00003","hypoglycemic_vs_control"
144761.924327076,3.56501570681874,0.821610639033172,4.33905738004301,1.43095160477364e-05,9.68995995378678e-05,"ERCC-00004","hypoglycemic_vs_control"
614881.438089097,4.35068113771914,0.883507068670448,4.92433087634069,8.4649502217014e-07,8.41106946652139e-06,"ERCC-00009","hypoglycemic_vs_control"
1868.52720390769,12.6210436009616,3.4169184284158,3.69369180604441,0.000221021655524367,0.000970466662154363,"ERCC-00013","hypoglycemic_vs_control"
268.629435932351,3.47330122674319,1.78922296454283,1.94123443280904,0.0522298483743815,0.0869842391036812,"ERCC-00019","hypoglycemic_vs_control"
30389.1255722216,4.61765976134153,0.981478957967123,4.70479751385176,2.54118040058469e-06,2.19102938027157e-05,"ERCC-00022","hypoglycemic_vs_control"
4181.15959813867,4.68086852155164,1.11621137769473,4.19353234977666,2.74643889000646e-05,0.000168304498920644,"ERCC-00025","hypoglycemic_vs_control"
0.26855561492645,5.9598920895959,3.41706239776236,1.74415664563184,0.0811317788205081,0.125266452879556,"ERCC-00028","hypoglycemic_vs_control"
12.1496669317151,8.17854855534781,3.41849854730932,2.39243879795857,0.0167368191904784,0.0354454878393137,"ERCC-00033","hypoglycemic_vs_control"
267.87603111862,6.32529239739765,1.54472478555738,4.09476979753083,4.22588057156851e-05,0.000241037726447542,"ERCC-00034","hypoglycemic_vs_control"
17516.2437502012,4.23213940144781,1.05079311185305,4.02756675287349,5.63570696928644e-05,0.000308119942320804,"ERCC-00035","hypoglycemic_vs_control"
48529.5457931088,2.58652313781244,0.81180750777474,3.18612862413949,0.00144190476352972,0.00471260554118915,"ERCC-00042","hypoglycemic_vs_control"
37854.2186002251,6.89285886701273,0.841919983120493,8.18707122435202,2.67659784922147e-16,8.35662023241147e-15,"ERCC-00043","hypoglycemic_vs_control"
27425.6952205691,2.90420638216127,1.0430161136006,2.78443098269658,0.00536217314983746,0.0139266248357425,"ERCC-00044","hypoglycemic_vs_control"
174960.589356731,2.95372658294788,0.83027220052013,3.55754002253417,0.00037434407962209,0.00151474016392786,"ERCC-00046","hypoglycemic_vs_control"
146.674995597229,9.34732666591076,1.33222329514107,7.01633630038045,2.27761468519997e-12,5.46996368931425e-11,"ERCC-00051","hypoglycemic_vs_control"
56.838896476015,10.5127735427445,2.15991438822085,4.86721770088492,1.13180332652091e-06,1.07766570351879e-05,"ERCC-00053","hypoglycemic_vs_control"
3.78637637289164,7.24713630793981,2.33756857700587,3.10028821367136,0.00193332418361687,0.00599815850272766,"ERCC-00054","hypoglycemic_vs_control"
565.652735245083,11.5541416172289,2.1168847527807,5.4580872208804,4.81291234263257e-08,6.1349981474618e-07,"ERCC-00059","hypoglycemic_vs_control"
5208.87491939619,5.23638359163044,0.876221882389487,5.97609315274191,2.28552343524255e-09,3.68416440702684e-08,"ERCC-00060","hypoglycemic_vs_control"
433.206674496133,8.67793931429292,1.32755795058799,6.53676874177082,6.28621332049428e-11,1.29929677411749e-09,"ERCC-00062","hypoglycemic_vs_control"
2901.03082776902,4.24045808427534,1.187095568845,3.57212864369559,0.000354091388310271,0.00145060090846445,"ERCC-00071","hypoglycemic_vs_control"
514036.658416347,2.65396381836562,0.8060704682447,3.29247122046897,0.000993110614271439,0.00343706660668505,"ERCC-00074","hypoglycemic_vs_control"
2890.16080281833,0.115517922836967,0.983618758967243,0.117441764691694,0.906509989606019,0.932607918547157,"ERCC-00076","hypoglycemic_vs_control"
0.0712861241048094,7.32712213793319,3.41892021256805,2.14311001204371,0.0321042657102788,0.059660164509733,"ERCC-00077","hypoglycemic_vs_control"
502.166940792913,-1.23735411151693,1.35399315484762,-0.91385551476897,0.360792771304701,0.438930008076187,"ERCC-00078","hypoglycemic_vs_control"
493.523814638331,0.549156256766203,1.19920332633946,0.457934234090637,0.646999690826622,0.712324084258263,"ERCC-00079","hypoglycemic_vs_control"
164.647564720322,2.79968339524516,1.84405684890529,1.51821967793844,0.128959028413855,0.185991966095547,"ERCC-00084","hypoglycemic_vs_control"
716.862385967809,9.28722471686408,3.41785886600554,2.71726395997096,0.00658240880073432,0.0164200374289134,"ERCC-00085","hypoglycemic_vs_control"
48626.0052472459,3.4967979010197,0.933016792455897,3.74784026321261,0.000178363781137623,0.000815770200237765,"ERCC-00092","hypoglycemic_vs_control"
1939.27206035878,4.4834744176601,0.997982741504786,4.49253702614115,7.03796772239266e-06,5.33195715571306e-05,"ERCC-00095","hypoglycemic_vs_control"
5230690.03381263,3.94521656341,0.828443505775776,4.76220350078741,1.91490430177232e-06,1.71848900425316e-05,"ERCC-00096","hypoglycemic_vs_control"
43.5833814482462,0.252187362447962,2.33899049407651,0.107818891563102,0.914139356947959,0.938828716311512,"ERCC-00099","hypoglycemic_vs_control"
405450.013411578,3.04945919693018,0.836064628019866,3.64739649870431,0.000264910967518579,0.00113380365030318,"ERCC-00108","hypoglycemic_vs_control"
118986.904889676,3.36373373198713,0.881841808592123,3.81444120613582,0.000136491426222546,0.000653484374779777,"ERCC-00111","hypoglycemic_vs_control"
24046.7406004879,4.24675725905512,1.05488326657379,4.02580777762112,5.67800592102466e-05,0.000309576572826455,"ERCC-00112","hypoglycemic_vs_control"
784684.924927682,3.26987384290969,0.870367096751314,3.75689046049035,0.000172037755250181,0.000790494162776201,"ERCC-00113","hypoglycemic_vs_control"
44.8149916638695,-4.39403277622624,1.66943071141984,-2.63205459571853,0.00848702234415116,0.0202351352674858,"ERCC-00116","hypoglycemic_vs_control"
130.320173401503,8.67838006822833,3.41811485984092,2.53893752085096,0.011118967805186,0.0252421419901888,"ERCC-00126","hypoglycemic_vs_control"
5296663.01472996,4.47629348935343,0.831699528804309,5.38210415459627,7.3620143692494e-08,9.02303083437756e-07,"ERCC-00130","hypoglycemic_vs_control"
1004.16762249948,-0.51281505821954,1.04259200196889,-0.491865520981467,0.622814413964885,0.691084007414833,"ERCC-00131","hypoglycemic_vs_control"
387497.732141342,3.89201967641511,0.82043453746625,4.743851579475,2.09692511647379e-06,1.86211972918002e-05,"ERCC-00136","hypoglycemic_vs_control"
28.4985489673325,-4.24167330238706,1.72421691403939,-2.46005781978436,0.0138914633849368,0.0303402653900756,"ERCC-00144","hypoglycemic_vs_control"
144405.693511741,4.5218303067566,0.906128358350762,4.99027567682216,6.02931824988677e-07,6.20936039207089e-06,"ERCC-00145","hypoglycemic_vs_control"
36.8627581652516,7.13518947899508,2.40127806763347,2.97141325495344,0.00296432602066439,0.00854025349906807,"ERCC-00148","hypoglycemic_vs_control"
119.546367945241,5.80074103186269,2.62587331850102,2.20907116538815,0.0271696913574316,0.0521756585083472,"ERCC-00150","hypoglycemic_vs_control"
0.181185953670564,7.02287534183231,3.41856649409153,2.05433340377327,0.0399434338244057,0.0701226544677048,"ERCC-00154","hypoglycemic_vs_control"
