"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene","comparison"
7523483.88425653,-10.8766327951301,1.26813717603811,-8.5768582458175,9.74996568080418e-18,1.61672158198062e-15,"ERCC-00002","hypotonic_vs_control"
4718.27771336509,-3.21259872125001,1.2026937521122,-2.67116937758094,0.00755874948386705,0.0827094484655274,"ERCC-00003","hypotonic_vs_control"
144761.924327076,-11.8549987872737,1.24826488619973,-9.49718198303689,2.15646964990764e-21,4.06903514630849e-19,"ERCC-00004","hypotonic_vs_control"
614881.438089097,-13.8107636050016,1.34284335115364,-10.2847168235496,8.25844729377575e-25,2.05410107234277e-22,"ERCC-00009","hypotonic_vs_control"
1868.52720390769,-2.82104286132497,5.20560445142388,-0.541924168009602,0.587870746873321,0.858175391768765,"ERCC-00013","hypotonic_vs_control"
268.629435932351,-27.8606243118186,2.77029405716804,-10.0569194955063,8.56360478271319e-24,1.87440181484026e-21,"ERCC-00019","hypotonic_vs_control"
30389.1255722216,-19.1141647050747,1.6015441046077,-11.9348350445564,7.79131906455579e-33,3.27954599394225e-30,"ERCC-00022","hypotonic_vs_control"
4181.15959813867,-30,1.79115077534104,-16.7490087451113,5.75776851766203e-63,7.87662733216165e-60,"ERCC-00025","hypotonic_vs_control"
0.26855561492645,-4.27486490826231,5.20441361787971,-0.821392230159427,0.411422887865432,NA,"ERCC-00028","hypotonic_vs_control"
12.1496669317151,-2.82097079649536,5.20560451277368,-0.541910317922379,0.587880288490899,0.858175391768765,"ERCC-00033","hypotonic_vs_control"
267.87603111862,-25.2803557084743,2.40504108629179,-10.5114028415427,7.65463330650798e-26,2.09430767266058e-23,"ERCC-00034","hypotonic_vs_control"
17516.2437502012,-18.1569106953974,1.69956913333391,-10.6832433816802,1.21935534679384e-26,3.92488968097406e-24,"ERCC-00035","hypotonic_vs_control"
48529.5457931088,-19.6421134483581,1.35785413592048,-14.4655548256241,1.99985842406595e-47,1.56331789949841e-44,"ERCC-00042","hypotonic_vs_control"
37854.2186002251,-14.8904765094906,1.39529887384317,-10.6718902943544,1.37794195067023e-26,4.18894353003749e-24,"ERCC-00043","hypotonic_vs_control"
27425.6952205691,-16.5918834788979,1.6455733341226,-10.0827372046257,6.58652367666287e-24,1.50172739827914e-21,"ERCC-00044","hypotonic_vs_control"
174960.589356731,-12.0560854907639,1.26096518349643,-9.56099791537028,1.16626659703709e-21,2.36363363666183e-19,"ERCC-00046","hypotonic_vs_control"
146.674995597229,-3.69210202468975,2.07130994467443,-1.78249616103208,0.0746683567060348,0.330838257405201,"ERCC-00051","hypotonic_vs_control"
56.838896476015,-18.9146409445055,3.30854053943776,-5.71691376274317,1.08476132191931e-08,1.1871627907085e-06,"ERCC-00053","hypotonic_vs_control"
3.78637637289164,-3.25297425872433,3.57293329274265,-0.910449200194076,0.362585660764117,0.722563634793177,"ERCC-00054","hypotonic_vs_control"
565.652735245083,-21.3885612955198,3.2515051727383,-6.5780492907865,4.76660229990822e-11,6.36167019148726e-09,"ERCC-00059","hypotonic_vs_control"
5208.87491939619,-15.4303036314365,1.45200832915181,-10.6268699164075,2.23487705168159e-26,6.43644590884297e-24,"ERCC-00060","hypotonic_vs_control"
433.206674496133,-8.48830823581643,2.08246414904902,-4.07608853179667,4.57995874583075e-05,0.00229659710492993,"ERCC-00062","hypotonic_vs_control"
2901.03082776902,-30,1.89223408411565,-15.8542752463001,1.31333971226308e-56,1.43731898110072e-53,"ERCC-00071","hypotonic_vs_control"
