"gene","lfc_hypotonic","padj_hypotonic","lfc_aa","padj_aa","lfc_hypoglycemic","padj_hypoglycemic"
"YAL031C",5.35759446076163,0.0253530109270463,3.82982674437212,0.018700441975355,-2.55464677986593,0.0444479365446874
"YAL034C",4.23795882424004,0.0255814937083565,3.58916133417813,0.0057929022334189,5.56146940552033,4.10587322525826e-09
"YAR035C-A",-6.31061052288534,0.00388126239474448,-4.44476193099615,0.00474324862588673,4.42680616255318,9.03278626078967e-05
"YAR050W",5.416585903327,0.00995673443899851,6.0092746255503,6.13545654712034e-05,5.01551150605341,7.40949725422311e-06
"YBL075C",6.53285120869584,0.00466418369571084,6.63523445020081,8.60313536676219e-05,2.76511087210317,0.032360949151917
"YBR019C",8.25180635740676,0.028777180718133,12.9931245336375,4.71006110539459e-07,-13.0252324469828,2.63458665475165e-12
"YBR093C",8.19023416806256,3.70833327715478e-07,5.79567012469819,2.65254396164828e-05,3.12634839185308,0.00287849212362393
"YBR098W",6.37168600480901,0.00138846638459186,4.03093950964541,0.00715039899833115,-4.05917158256839,0.000494285203844164
"YBR170C",4.23901943352474,0.0410773506671891,2.92367748107354,0.0332502573437456,3.1025491498648,0.00315453691242573
"YBR255W",5.09000586098185,0.0275644649987731,3.93257347940217,0.012102288277794,2.77027295954891,0.0216868521580282
"YBR290W",4.36920876366,0.0305761050036216,3.90835321561875,0.00456057081599909,2.73663207437157,0.00903890993173819
"YBR294W",5.81235548713073,0.0013767022936714,8.49177565080961,2.53963394922499e-10,4.07946634246346,7.23685913556789e-05
"YCL029C",5.93897197635236,0.0164631222509422,4.86119002088097,0.00495432464039978,3.8370610503299,0.0034452041959677
"YCR042C",5.29585975541354,0.00579387001042084,3.89790629963756,0.00490182280612875,2.25338135967167,0.0338705325124404
"YCR106W",5.54483496498245,0.017554877924228,3.86557950406989,0.016487961718702,-4.605318670011,0.000222449789447952
"YDL043C",5.90105079832205,0.00311221637502308,5.45341731574911,0.000244549616243938,4.32453437471736,0.000102828636679486
"YDL085W",6.44199666222584,0.010301806174074,4.11551902247122,0.0192337712062557,5.74829396199231,1.27009436475593e-05
"YDL160C",6.37280483293496,0.0109718685441852,6.34003673109107,0.000417272552984334,7.83647446032753,1.50369954689902e-09
